subject,ses_i,ses_j,mmd,coral,mu_power_shift,beta_power_shift,mu_ks_stat,erd_mu_corr,erd_beta_corr,csp_similarity,rms_ratio_median,rms_ratio_std,fisher_i,fisher_j,fisher_shift,high_amp_ratio_i,high_amp_ratio_j,mean_rms_i,mean_rms_j
sub-048,ses-02,ses-03,0.184714,0.000074,0.369292,0.252714,0.353793,0.600738,0.680562,0.480838,1.214354,0.765668,0.029629,0.011154,-0.018475,0.955000,1.000000,18.245288,22.554737
sub-049,ses-01,ses-02,0.232789,0.000314,0.195494,0.143259,0.149655,0.625170,0.802634,0.478034,2.675132,2.288891,0.004270,0.039609,0.035340,0.995000,0.995000,30.743981,44.150406
sub-049,ses-01,ses-03,0.290111,0.000168,0.156886,0.024993,0.183879,0.578535,0.537575,0.469729,0.943548,0.469205,0.004270,0.016375,0.012105,0.995000,0.980000,30.743981,22.777875
sub-049,ses-02,ses-03,0.303437,0.000273,-0.038608,-0.118266,0.044655,0.802396,0.656036,0.394365,0.334722,0.195682,0.039609,0.016375,-0.023235,0.995000,0.980000,44.150406,22.777875
sub-050,ses-01,ses-02,0.220793,0.000111,-0.032558,0.026344,0.046034,0.813042,0.709690,0.353071,0.615520,0.210216,0.001986,0.044057,0.042071,0.930000,0.880000,22.568913,13.609785
sub-050,ses-01,ses-03,0.239774,0.000111,-0.102422,-0.035027,0.119310,0.789579,0.617703,0.347946,0.579085,0.210840,0.001986,0.022824,0.020838,0.930000,0.975000,22.568913,13.915850
sub-050,ses-02,ses-03,0.144178,0.000004,-0.069864,-0.061372,0.085517,0.834548,0.855930,0.490269,0.958996,0.072736,0.044057,0.022824,-0.021233,0.880000,0.975000,13.609785,13.915850
sub-051,ses-01,ses-02,0.297098,0.001587,-0.132688,-0.020216,0.145345,-0.018768,0.493222,0.427255,0.149764,0.144106,0.005164,0.012790,0.007626,0.965000,0.980000,48.239231,13.947832
sub-051,ses-01,ses-03,0.355512,0.001587,-0.135555,-0.037247,0.152069,0.417574,0.270038,0.365840,0.148546,0.114503,0.005164,0.010800,0.005636,0.965000,0.835000,48.239231,12.480800
sub-051,ses-02,ses-03,0.151059,0.000011,-0.002867,-0.017031,0.030259,0.278993,0.732228,0.452965,0.882208,0.110679,0.012790,0.010800,-0.001990,0.980000,0.835000,13.947832,12.480800
